job_title,job_company,job_summary,job_location,job_salary,job_posting_date,today,job_url
PHP Web Developer,Sneha It Solutions : Online application developmen...,"Should have ability to search/customize/code solutions for various business problems.
Working knowledge of design patterns.
Working knowledge of Linux & Apache.","Bhilai, Chhattisgarh","₹20,000 a month",17 days ago,2021-02-18,https://in.indeed.com/company/Sneha-It-Solutions/jobs/PHP-Web-Developer-251ead62570907ec?fccid=67bdb4db86945e54&vjs=3
Senior Php Developer,Reliable Services,"You develop back-end components, connect the application with other web services, and assist front-end developers by ensuring their work integrates with the…","Raipur, Chhattisgarh",,11 days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=a38be31d553a92da&fccid=b390b0e751d53401&vjs=3
Microsoft Power Platform Developer,Amicus Technology,"Use platform APIs to interact with data and processes by using the Common Data Service Web API or the Organization Service, perform entity metadata operations…","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=2cad4289d407d3e4&fccid=81b37c42fd6e317d&vjs=3
Php Developer,Obizzy Software Solutions,"Skill: PHP, MY-SQL, Joomla, WordPress, Magento, Drupal, Ajax, Jquary and Javascript.
Salary: As per Industry Standards.","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=7cdb8e7b182df3bf&fccid=386fea73ae10ef91&vjs=3
PHP Developer,WES Consultancy and Services Pvt. Ltd.,"Coordinating with co-developers and other related departments.
Developing and maintaining web applications.
Software development: 1 year (Preferred).","Raipur, Chhattisgarh",,16 days ago,2021-02-18,https://in.indeed.com/company/Web-Edge-Solutions/jobs/PHP-Developer-78eafbea7e3a1b3d?fccid=6b7783d1597ed9be&vjs=3
Senior Software Developer,Awizom Tech Bytes,"We have highly skilled engineers with excellent technical knowledge and experience in using latest software standards, tools, platforms, frameworks and…","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=da295bb514bf0712&fccid=4bd8c5d937970d86&vjs=3
Net Developer with Angular,Resilience Soft,"Understanding of generic classes, best practices and design patterns (factory pattern, singleton, builder, pool, observer, proxy, etc.), general data types …","Bilaspur, Chhattisgarh","₹9,904 - ₹22,323 a month",13 days ago,2021-02-18,https://in.indeed.com/company/Resilience-Soft/jobs/Net-Developer-Angular-46ad32d8cddc0a0e?fccid=44fdc064240295cc&vjs=3
WEB DEVELOPER,TechnoDark India Prism,"4.Be able to architect and build web applications for new products.
3.Have a good knowledge of performance tuning and Web security.
If that sounds like you.","Bhilai, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=1c4802086a33da31&fccid=2676b8e8169622df&vjs=3
React Native Developer/ Mobile Application Developer,Finology Ventures Pvt Ltd,"The ideal candidate will be responsible for the technical design and implementation of new products and enhancements.
Software development: 1 year (Preferred).","Raipur, Chhattisgarh","₹3,00,000 - ₹5,00,000 a year",30+ days ago,2021-02-18,https://in.indeed.com/company/Finology-Ventures-Pvt-Ltd/jobs/React-Native-Developer-94752ce844fc0a56?fccid=88f7217fa0fb6986&vjs=3
React Native Mobile Developer with LWC,Identity and Access Solutions pvt. ltd,"You will be responsible for architecting and building these applications, as well as coordinating with the teams responsible for other layers of the product…",India,"₹78,251 - ₹1,76,765 a year",5 days ago,2021-02-18,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DyTwPNaPg-XzS5YFdTi7lwm0d0MqAPqBB4spdrjlvQhb-cI6f9hM-Jl9ZSyOFz6vd7sOl2tl7LU_icaPxkwJ9qsRztdg-q_iecgKAmbAVuLRk4A0qgx8eQ_uCNgCfyAlRRDZqOhKllXABMw5BOlACua_-UsOEQg5CftqR_5AzbPzcu36SB2OEDCmKfUaCg4C3_3IOw2mDjiUQ9EC3NibiIseHNd72GYbJWkZBJYkHhnDNCBWYEqZ5H9GitVqd-cW4lvXTuIaHIHncheGERoWy7sNjF6XSiZkhyQmtQ_KgDW3IfUYOKIWxIJfkbEqWCz1mqdRF5dF1G0UjsCkpl3Ega3OUNgH6GjdGOzJwBIy_VSTW2IIiHHPro7M58wGO0941Yk0O9Wu-Dy8ECKafmZZ67Hm0GYXhwOak7F4xGfggtl-JNkB25LDxWkkWHjeiISGhXDVxwTbuycLh972K-PjUtbyhK2E9C4vKAwN3nxxqazQ==&p=9&fvj=1&vjs=3
Full Stack Developer (Trainer Position),Anion Softech,"Exp: 2-3 years; Should have depth knowledge of Full Stack Development with frameworks and should be good with training.
NOTE: Part-Time Trainer also can apply.","Raipur, Chhattisgarh","₹15,000 - ₹20,000 a month",9 days ago,2021-02-18,https://in.indeed.com/company/Anion-Softech/jobs/Full-Stack-Developer-c7c99299da42c5c7?fccid=ba03ff527222398c&vjs=3
Laravel Developer,RG Consultancy ( india),"Software development: 1 year (Preferred).
This PHP / Laravel developer job description template includes the list of most important *PHP / Laravel developer's…","Raipur, Chhattisgarh","₹20,000 - ₹25,000 a month",16 days ago,2021-02-18,https://in.indeed.com/company/RG-Consultancy-(-india)/jobs/Laravel-Developer-6e95961e25d3cc0f?fccid=644440175933ac9f&vjs=3
PHP Developer - codeigniter,WES Consultancy and Services Pvt. Ltd.,"Coordinating with co-developers and other related departments.
Developing and maintaining web applications.
Software development: 1 year (Required).","Raipur, Chhattisgarh","₹10,000 - ₹16,000 a year",30+ days ago,2021-02-18,https://in.indeed.com/company/WES-Consultancy-and-Services-Pvt.-Ltd./jobs/PHP-Developer-39aa908fadba28d4?fccid=0c910a76131de561&vjs=3
Automation Engineer,Bluechip Jobs,"Knowledge in PLC Drives(S 7,300,400,1200,1500) Simatic Manager ,Scout software(Siemens) DC Drive& AC Drives (Siemens),G-120 67ASO DC Drives.","Raipur, Chhattisgarh","₹3,00,000 - ₹3,75,000 a year",30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=62df8f77c83dbf8f&fccid=395872b92053647a&vjs=3
Android App Developer,Anion Softech,"Designing and developing advanced applications for the Android platform.
Adaptability to learn new language/skill.
Salary: ₹15,000.00 - ₹20,000.00 per month.","Raipur, Chhattisgarh","₹15,000 - ₹20,000 a month",29 days ago,2021-02-18,https://in.indeed.com/company/Anion-Softech/jobs/Android-Application-Developer-5af6fdf6ceef45f9?fccid=ba03ff527222398c&vjs=3
.Net Developer,SCIKEY,"To develop and design analytical solutions using .
To work on 3 shifts (Morning / Afternoon / Night) on rotation basis.
Date Posted: Dec 15, 2020.","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=d14b401b1faeca57&fccid=7ad36117cddb7438&vjs=3
SENIOR PHP CODEIGNITER DEVELOPER,AYODHYA WEBOSOFT,"Assure that all user input is validated before submitting to the back-end.
Expertise in PHP, MVC Frameworks and good technology exposure of Codeigniter.","Bhilai, Chhattisgarh","₹12,000 - ₹16,000 a month",18 days ago,2021-02-18,https://in.indeed.com/company/Ayodhya-Webosoft/jobs/Senior-PHP-Codeigniter-Developer-ef0f3d4df3e41e1b?fccid=f4494cc2af78cf33&vjs=3
Cloud Engineer,skilora,"End to end technology solutions.
Built an in-house application development team working with the latest technologies providing our clients.","Bhilai, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=5da9186bcab5e5e6&fccid=f74c40d50fb54046&vjs=3
Senior PHP Developer,Shreejob,"To Develop and deploy new features, modules and write bug free code for the web-based applications.
To optimize pre-written PHP Code and MySQL queries bringing…","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=f0e76230668925aa&fccid=6119abe50e91f429&vjs=3
