job_title,job_company,job_summary,job_location,job_salary,job_posting_date,today,job_url
Java Developer Core Java,Afrin Sithara J (Proprietor Of Shahi India Co),"Req.Software core,Advance Java with gud comm skill,Kowledge of PHP,Android,c++,html,web developer aply.
Industry Type IT-Software, Software Services.","Raipur, Chhattisgarh","₹1,60,000 - ₹2,60,000 a year",19 days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=f05059cbe69aacd7&fccid=466744ccff73d43c&vjs=3
PHP Developer,Reliable Services,"You develop back-end components, connect the application with other web services, and assist front-end developers by ensuring their work integrates with the…","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=193da25e6ae0fb02&fccid=b390b0e751d53401&vjs=3
Android Application Developer,Logixhunt,"We are looking for an Android developer who will be responsible for the design, development and maintenance of applications.
Total work: 1 year (Required).","Bhilai, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/company/Logixhunt/jobs/Android-Application-Developer-75430b09c61a5bdb?fccid=2544fb5fb9e8449f&vjs=3
Website Developer,Tally Tech,"Deep functional knowledge or hands-on design experience with Web Services (REST, SOAP, etc ..) is needed to be successful in this position.","Raipur Ho., Chhattisgarh","₹12,000 - ₹15,000 a month",5 days ago,2021-02-18,https://in.indeed.com/company/Tally-Tech/jobs/Website-Developer-9d08b6d4d82ab50d?fccid=79e619d9b3a6cbd9&vjs=3
PHP Developer,Web Edge Solutions,"Coordinating with co-developers and other related departments.
Developing and maintaining web applications.
Software development: 1 year (Required).","Raipur, Chhattisgarh","₹39,000 a month",30+ days ago,2021-02-18,https://in.indeed.com/company/Web-Edge-Solutions/jobs/PHP-Developer-91ba85597267e169?fccid=6b7783d1597ed9be&vjs=3
Sr. PHP Developer,XCEL Corp,"Software development: 1 year (Preferred).
Job Types: Full-time, Walk-In.
Salary: ₹157,467.00 - ₹510,627.00 per year.
Total work: 1 year (Preferred).","Raipur, Chhattisgarh","₹1,57,467 - ₹5,10,627 a year",2 days ago,2021-02-18,https://in.indeed.com/company/XSC-Techsol-Pvt.-Ltd/jobs/Senior-PHP-Developer-4284e8fc1616e9ca?fccid=3ad628bdf6b55348&vjs=3
Dot Net Developer,Amicus Technology,"Minimum 3 to 5 years of relevant experience.
Contribute to writing technical/functional project documents.
Understand functional/technical problems and come-up…","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=b0ea1f601c66f327&fccid=81b37c42fd6e317d&vjs=3
Immediate Opening for .Net Developer,Techcherry Software Consultancy Services,"Develop and maintain simple to complex .net applications Deliver the quality code, on time Participate in agile development process to ensure project…","Durg, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=a290da9874eb814f&fccid=4d1489ebe395da8a&vjs=3
Software Developer/Programmer,ASAP Recruitment,"Experience using Microsoft Office tools (Excel, Visio).
Develop and deploy computer applications.
Understanding of object-oriented software engineering.","Raipur, Chhattisgarh","₹25,000 - ₹40,000 a month",18 days ago,2021-02-18,https://in.indeed.com/company/ASAP-Recruitment/jobs/Software-Developer-Programmer-d465a4c6ab3e9d62?fccid=84d0d883a89ef3e0&vjs=3
PHP Developer,WebCoodee,"Good skills in customizing business management software.
WebCoodee is looking for a PHP Developer with Strong programming skills in PHP using Code Igniter, good…","Durg, Chhattisgarh","₹8,000 - ₹12,000 a month",12 days ago,2021-02-18,https://in.indeed.com/company/WebCoodee/jobs/PHP-Developer-669ab8d2639183db?fccid=bef91b19b95a6de9&vjs=3
Software/Android Developer,Awizom Tech Bytes,"We have highly skilled engineers with excellent technical knowledge and experience in using latest software standards, tools, platforms, frameworks and…","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=55793b5c03c9871a&fccid=4bd8c5d937970d86&vjs=3
Flutter Developer,TOGETHER WE GROW,"Basic of software development life cycle.
Maintain and adding new features to our flutter app.
Bring some new ideas over the table.
Temporarily due to COVID-19.","Ambikapur Town, Chhattisgarh","₹18,000 a month",30+ days ago,2021-02-18,https://in.indeed.com/company/TOGETHER-WE-GROW/jobs/Flutter-Developer-d94721f25ee68af0?fccid=d7e6f7359d35b4cd&vjs=3
Software Engineer,Interbiz Consulting,"Candidate has to work as a full stack developer and should be involved in unit testing.
One should be proactive to share and accept ideas, he should always try…","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=2edab2b7a124fcdd&fccid=db018564df1ddd2f&vjs=3
Front End Developer,Ethereal Corporate Network Private Limited,"Develop end-to-end network optimized, responsive Web Apps from the design implementations of our web platform, mobile apps, internal tools.","Bhilai, Chhattisgarh","₹7,000 - ₹20,000 a month",30+ days ago,2021-02-18,https://in.indeed.com/company/Corporate-Motion-Pictures/jobs/Front-End-Developer-e0c778b393a8a43c?fccid=f8e384f135b0ab65&vjs=3
J2EE Developer,Innodeed Systems,"Application Developer Role Description: Design, build and configure applications to meet business process and application requirements.","Bhilai, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=15ddbf326b04a57b&fccid=467f9e98a98b1c96&vjs=3
